location,GHSI
Equatorial Guinea,16.2
Somalia,16.6
Sao Tome and Principe,17.7
Yemen,18.5
Kosovo,19.2
Syria,19.9
Gabon,20
Guinea-Bissau,20
Turks and Caicos Islands,20.4
Nepal,20.8
South Sudan,21.7
Palestine,21.9
Eritrea,22.4
Burundi,22.8
Venezuela,23
Djibouti,23.2
Algeria,23.6
Congo,23.6
Dominica,24
Angola,25.2
Fiji,25.7
Libya,25.7
Iraq,25.8
Timor,26
Saint Kitts and Nevis,26.2
Sudan,26.2
Democratic Republic of Congo,26.5
Comoros,27.2
Central African Republic,27.3
Grenada,27.5
Mauritania,27.5
Honduras,27.6
Papua New Guinea,27.8
Malawi,28
Mozambique,28.1
Zambia,28.7
Benin,28.8
Chad,28.8
Antigua and Barbuda,29
Jamaica,29
Mali,29
Cape Verde,29.3
Burkina Faso,30.1
Lesotho,30.2
Andorra,30.5
Bahamas,30.6
Botswana,31.1
San Marino,31.1
Swaziland,31.1
Haiti,31.5
Guyana,31.7
Belize,31.8
Barbados,31.9
Seychelles,31.9
Niger,32.2
Afghanistan,32.3
Tajikistan,32.3
Togo,32.5
Brunei,32.6
Guatemala,32.7
Guinea,32.7
Monaco,32.7
Saint Vincent and the Grenadines,33
Tunisia,33.7
Maldives,33.8
Sri Lanka,33.9
Azerbaijan,34.2
Gambia,34.2
Rwanda,34.2
Uzbekistan,34.3
Cameroon,34.4
Mauritius,34.9
Bangladesh,35
Liberia,35.1
Netherlands,35.1
Cuba,35.2
Belarus,35.3
Saint Lucia,35.3
Cote d'Ivoire,35.5
Ghana,35.5
Pakistan,35.5
Namibia,35.6
Paraguay,35.7
Bolivia,35.8
Tanzania,36.4
Suriname,36.5
Trinidad and Tobago,36.6
Malta,37.3
Iran,37.7
Nigeria,37.8
Senegal,37.9
Ukraine,38
Sierra Leone,38.2
Zimbabwe,38.2
Dominican Republic,38.3
Cambodia,39.2
Bahrain,39.4
Egypt,39.9
Madagascar,40.1
Bhutan,40.3
Ethiopia,40.6
Kazakhstan,40.7
Qatar,41.2
Uruguay,41.3
Jordan,42.1
Bosnia and Herzegovina,42.8
Moldova,42.9
Cyprus,43
Laos,43.1
Lebanon,43.1
Nicaragua,43.1
Oman,43.1
Myanmar,43.4
Liechtenstein,43.5
Montenegro,43.7
Morocco,43.7
Panama,43.7
Luxembourg,43.8
Colombia,44.2
El Salvador,44.2
Russia,44.3
Uganda,44.3
Costa Rica,45.1
Bulgaria,45.6
Romania,45.8
Kuwait,46.1
Iceland,46.3
India,46.5
United Arab Emirates,46.7
Kenya,47.1
Israel,47.3
Philippines,47.6
Slovakia,47.9
China,48.2
Vietnam,49.1
Peru,49.2
Kyrgyzstan,49.3
Saudi Arabia,49.3
Mongolia,49.5
Ecuador,50.1
Armenia,50.2
Czech Republic,52
Georgia,52
Serbia,52.3
Turkey,52.4
Albania,52.9
Croatia,53.3
Greece,53.8
Hungary,54
New Zealand,54
South Africa,54.8
Lithuania,55
Poland,55.4
Italy,56.2
Indonesia,56.6
Estonia,57
Mexico,57.6
Chile,58.3
Austria,58.5
Argentina,58.6
Singapore,58.7
Ireland,59
Brazil,59.7
Japan,59.8
Portugal,60.3
Belgium,61
Malaysia,62.2
Latvia,62.9
Norway,64.6
Spain,65.9
Germany,66
Switzerland,67
Slovenia,67.2
France,68.2
Finland,68.7
South Korea,70.2
Denmark,70.4
Sweden,72.1
Thailand,73.2
Canada,75.3
Australia,75.5
New Caledonia,75.6
United Kingdom,77.9
United States,83.5
Anguilla,0
Aruba,0
Bermuda,0
Bonaire Sint Eustatius and Saba,0
British Virgin Islands,0
Cayman Islands,0
Curacao,0
Faeroe Islands,0
Falkland Islands,0
French Polynesia,0
Gibraltar,0
Greenland,0
Guam,0
Guernsey,0
Isle of Man,0
Jersey,0
Macedonia,0
Montserrat,0
Northern Mariana Islands,0
Puerto Rico,0
Sint Maarten (Dutch part),0
Taiwan,0
United States Virgin Islands,0
Vatican,0
Western Sahara,0
